source,original_dimensions,cropped_dimensions,variants,total_bytes
custom_backyard.png,370x800,370x279,1,19778
custom_bath.jpg,960x1280,960x1280,2,85322
custom_back_patio.jpg,640x480,640x480,1,25764
custom_concrete_stamping.png,296x640,296x396,1,24508
custom_patio_walkway.png,296x640,296x395,1,31876
custom_residential.jpg,800x600,800x600,2,53124
custom_shower.jpg,960x1280,960x1280,2,41662
custom_walkway_arches.jpg,480x640,480x640,1,73618
dream_home_add_value_custom_adu.png,1320x903,1320x903,3,251394
every_trade.png,207x320,207x320,1,17208
fireplace_makeover.jpg,1320x1949,1320x1949,3,444260
heavy_equipment_drill_rig.jpg,1280x960,1280x960,3,284220
home_extensions_realtor_contact.png,736x1600,700x966,1,40660
new_home_construction.png,182x240,182x240,1,9972
pickle_court.png,193x240,193x240,1,10270
septic_code.jpg,1536x2048,1536x2048,3,255492
septic_installation.jpg,1536x2048,1536x2048,3,645466
septic_job.jpg,1536x2048,1536x2048,3,512612
septic_tank.jpg,1536x2048,1536x2048,3,665744
septic_plumbing.jpg,1536x2048,1536x2048,3,719322
septic_ventilation.jpg,1536x2048,1536x2048,3,696928
sewage_plumbing.jpg,956x2047,956x2047,2,363134
sewer_installation.jpg,1200x1600,1200x1600,3,787538
modern_residential.png,1284x2778,1284x728,3,150422
sewage_trenching.jpg,1200x1600,1200x1600,3,817788
sewer_line_tap.jpg,1536x2048,1536x2048,3,592726
underground_utilities.jpg,560x800,560x800,1,65880
block_walls.png,210x320,210x320,1,17318
company_sign.jpg,640x480,640x480,1,25080
custom_adu.jpg,1320x1093,1320x1093,3,237686
concrete_walkway.png,296x640,296x395,1,32374
commercial_build.png,736x1600,736x477,1,13318
concrete_layout.jpg,2048x1536,2048x1536,4,730812
concrete_work.png,203x240,203x240,1,12594
new_residential_home.png,1284x2778,1166x1166,2,96704
rural_residential.png,1284x2778,1284x969,3,197312
single_story_residential.png,1284x2778,1284x964,3,83048
single_residential.png,1284x2778,1284x966,3,290090
